B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Muscicapa aquatica,PASSERIFORMES,Muscicapidae,Swamp Flycatcher,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Not colonial,1.06069784,6.269015139,4.538405,4
Caprimulgus natalensis,CAPRIMULGIFORMES,Caprimulgidae,Swamp Nightjar,6,0.029411765,1,0,0,LC,5,1,Nocturnal,Carnivore,Open vegetation,Not colonial,1.890421019,6.343164193,10.881751,2
Thescelocichla leucopleura,PASSERIFORMES,Pycnonotidae,Swamp Palm Bulbul,4,0,1,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.793091589,6.495289252,10.767862,2
Coccopygia melanotis,PASSERIFORMES,Estrildidae,Swee Waxbill,7,0.015625,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,0.82607479,6.01548698,3.539435,2
Pternistis swierstrai,GALLIFORMES,Phasianidae,Swierstra's Francolin,3,0,1,0,0,EN,2,1,Diurnal,Herbivore,Forest,Not colonial,2.672097858,4.266490431,3.78725,2
Swynnertonia swynnertoni,PASSERIFORMES,Muscicapidae,Swynnerton's Robin,7,0.016666667,1,0,0,VU,3,1,Diurnal,Carnivore,Forest,Not colonial,1.205475037,3.849139596,10.055704,4
Serinus syriacus,PASSERIFORMES,Fringillidae,Syrian Serin,3,0,1,0,0,VU,3,4,Diurnal,Herbivore,Open vegetation,Colonial,1.068185855,3.946459442,3.220927,1
Cisticola angusticauda,PASSERIFORMES,Cisticolidae,Tabora Cisticola,6,0.015625,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.0740426,5.965263838,4.267721,1
Nectarinia tacazze,PASSERIFORMES,Nectariniidae,Tacazze Sunbird,5,0.08,1,1,0,LC,5,1,Diurnal,Omnivore,Artificial,Not colonial,1.173186268,5.455181519,5.898705,7
Apalis fuscigularis,PASSERIFORMES,Cisticolidae,Taita Apalis,4,0,1,0,0,CR,1,1,Diurnal,Carnivore,Forest,Not colonial,1.016347915,2.388618948,4.991515,1
Falco fasciinucha,FALCONIFORMES,Falconidae,Taita Falcon,5,0.025,1,0,0,VU,3,1,Diurnal,Carnivore,Bare habitat,Not colonial,2.413299764,5.699890915,6.278115,7
Lanius dorsalis,PASSERIFORMES,Laniidae,Taita Fiscal,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.698100559,6.117625921,5.877919,1
Turdus helleri,PASSERIFORMES,Turdidae,Taita Thrush,2,0.041666667,0,0,0,CR,1,1,Diurnal,Carnivore,Forest,Not colonial,1.851258349,2.188493282,6.363461,2
Turtur tympanistria,COLUMBIFORMES,Columbidae,Tambourine Dove,6,0.041666667,1,0,0,LC,5,4,Diurnal,Herbivore,Shrubland,Not colonial,1.830588649,6.908284595,10.073004,2
Cisticola restrictus,PASSERIFORMES,Cisticolidae,Tana River Cisticola,6,0,1,0,0,NT,4,1,Diurnal,Carnivore,Shrubland,Not colonial,1.120573925,3.523871105,4.24939,1
