Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
CHARADRIIFORMES,Scolopacidae,Calidris canutus,Knot,2.748188027,Amber,2,5,0.03125,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,13.404824,Aquatic,Not colonial,2.153752684,6
CHARADRIIFORMES,Scolopacidae,Calidris ferruginea,Curlew Sandpiper,1.698970004,Amber,2,7,0.015625,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,16.001194,Open vegetation,Not colonial,1.764176132,6
CHARADRIIFORMES,Scolopacidae,Calidris maritima,Purple Sandpiper,2.750508395,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.14082,Aquatic,Not colonial,1.81391442,6
CHARADRIIFORMES,Scolopacidae,Calidris minuta,Little Stint,2.100370545,Green,3,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,9.990511,Open vegetation,Not colonial,1.324282455,6
CHARADRIIFORMES,Scolopacidae,Calidris pugnax,Ruff,2.574031268,Red,1,4,0,1,1,1,LC,5,Full Migrant,4,Diurnal,Omnivore,16.981261,Artificial,Colonial,2.133538908,7
CAPRIMULGIFORMES,Caprimulgidae,Caprimulgus europaeus,Nightjar,2.862727528,Amber,2,6,0,1,0,0,LC,5,Full Migrant,4,Nocturnal,Carnivore,5.244451,Forest,Not colonial,1.826074803,8
PASSERIFORMES,Fringillidae,Carduelis carduelis,Goldfinch,3.411956238,Green,3,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,6.195681,Shrubland,Colonial,1.204119983,4
CHARADRIIFORMES,Stercorariidae,Catharacta skua,Great Skua,2.568201724,Amber,2,1,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.68653,Aquatic,Colonial,3.127104798,7
CHARADRIIFORMES,Alcidae,Cepphus grylle,Black Guillemot,2.749736316,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.622035,Aquatic,Colonial,2.5774918,7
PASSERIFORMES,Certhiidae,Certhia familiaris,Treecreeper,3.395151592,Green,3,5,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,7.108739,Forest,Not colonial,0.954242509,6
PASSERIFORMES,Scotocercidae,Cettia cetti,Cetti's Warbler,2.697229343,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,10.488174,Aquatic,Not colonial,1.125481266,8
CHARADRIIFORMES,Charadriidae,Charadrius dubius,Little Ringed Plover,2.876217841,Green,3,4,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,14.848928,Forest,Not colonial,1.587710974,6
CHARADRIIFORMES,Charadriidae,Charadrius hiaticula,Ringed Plover,3.181271772,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,15.286024,Aquatic,Not colonial,1.806519134,7
